lat;lon;slope_total_hujan_2021_2050;p_total_hujan_2021_2050;delta_total_hujan_2021_2050;slope_rx1day_2021_2050;p_rx1day_2021_2050;delta_rx1day_2021_2050;slope_rx5day_2021_2050;p_rx5day_2021_2050;delta_rx5day_2021_2050;slope_rx7day_2021_2050;p_rx7day_2021_2050;delta_rx7day_2021_2050;slope_rx10day_2021_2050;p_rx10day_2021_2050;delta_rx10day_2021_2050;slope_hari_hujan_1mm_2021_2050;p_hari_hujan_1mm_2021_2050;delta_hari_hujan_1mm_2021_2050;slope_hari_hujan_20mm_2021_2050;p_hari_hujan_20mm_2021_2050;delta_hari_hujan_20mm_2021_2050;slope_hari_hujan_50mm_2021_2050;p_hari_hujan_50mm_2021_2050;delta_hari_hujan_50mm_2021_2050;slope_hari_hujan_100mm_2021_2050;p_hari_hujan_100mm_2021_2050;delta_hari_hujan_100mm_2021_2050;slope_cwd_2021_2050;p_cwd_2021_2050;delta_cwd_2021_2050;slope_cdd_2021_2050;p_cdd_2021_2050;delta_cdd_2021_2050
-17.625;124.625;-6.042796937;0.244636886;140.66828;0.124101382;0.780001957;-2.458903;0.027422691;0.978931263;5.484776;0.043634138;0.970628862;13.99342;-0.190729317;0.889203784;1.39909;-0.339265851;0.30213176;10;-0.129477197;0.223307994;4;-0.012235818;0.604665545;0;0.004226919;0.280011461;0;-0.086318131;0.378324662;3;0.369076752;0.577307082;-40
-17.625;124.875;-6.252407824;0.216655214;117.56595;0.153526147;0.707938998;-2.41439;0.223191047;0.813460741;8.97568;0.13836394;0.896201252;14.09817;-0.101819526;0.934251084;14.36633;-0.331256952;0.296539373;5;-0.088765295;0.395431185;6;-0.008453838;0.607224205;0;0.004226919;0.280011461;0;-0.017130145;0.840730394;3;0.491657397;0.47152103;-36
-17.625;125.125;-6.465101611;0.1914525;93.69075;0.10569584;0.787177765;-1.464836;0.294363574;0.730372754;7.31202;0.192854473;0.837049611;13.37184;0.008893496;0.993591859;25.36302;-0.442269188;0.146035686;2;-0.1432703;0.189205139;4;-0.012903226;0.440238445;0;0.004226919;0.280011461;0;-0.072747497;0.38057759;-2;0.583982202;0.377838018;-37
-17.625;125.375;-6.43584099;0.183142009;61.76504;-0.021194896;0.950196673;-2.982244;0.147724779;0.839391629;-3.099546;0.079958974;0.92232309;1.28791;-0.090213864;0.928176484;16.98754;-0.404671858;0.190001109;4;-0.126140156;0.238294983;4;-0.009788654;0.584022921;0;0;;0;-0.091434928;0.289941831;2;0.347497219;0.606591706;-38
-17.625;125.625;-6.318184065;0.181444857;32.55806;-0.149379398;0.635446993;-6.238007;-0.007190058;0.990907176;-14.230974;-0.038874676;0.957527203;-11.92356;-0.249011607;0.786250682;6.78354;-0.425361513;0.162126007;4;-0.081201335;0.422385219;6;0.006451613;0.696563555;0;0;;0;-0.096774194;0.276237032;2;0.278976641;0.685414874;-36
-17.625;125.875;-6.105064739;0.188438369;5.57489;-0.212935259;0.51428232;-7.231224;-0.147814055;0.802331714;-24.53314;-0.150756903;0.822891153;-24.14983;-0.533713276;0.548401547;-2.47229;-0.436929922;0.158152204;2;-0.093882091;0.353108945;6;0.012013348;0.412838128;0;0;;0;-0.000444939;0.996313299;12;0.200667408;0.771611432;-37
-17.625;126.125;-5.843390461;0.202257415;-21.81905;-0.317357859;0.385590288;-9.222413;-0.16781021;0.772642494;-33.768915;-0.171186589;0.793987139;-33.7453;-0.680453447;0.439718271;-11.45575;-0.482313682;0.125161384;3;-0.066518354;0.502151921;5;-0.001557286;0.915650608;0;0;;0;0.007119021;0.940345631;12;0.351501669;0.636250058;-37
-17.625;126.375;-5.531001408;0.22361701;-48.5772;-0.330764013;0.41753669;-11.05576;-0.252238153;0.680828853;-41.74475;-0.311490206;0.641847348;-40.870165;-0.835955758;0.356780625;-19.24248;-0.476529477;0.126943435;4;-0.076307008;0.428581677;0;-0.000444939;0.973938416;0;0;;0;-0.031145717;0.752847667;12;0.35839822;0.630399455;-37
-17.625;126.625;-5.127694732;0.255258685;-57.4285;-0.272462288;0.528370111;-12.333066;-0.308823085;0.632724859;-49.68784;-0.337391895;0.634707152;-47.82306;-0.829231566;0.364345825;-26.41803;-0.482091212;0.115594721;0;-0.101446051;0.280305411;-2;0.000444939;0.975709189;-1;0;;0;-0.004449388;0.96302474;13;0.270522803;0.737823516;-54
-17.625;126.875;-4.504289758;0.310113942;-10.6889;-0.174520243;0.674014589;-13.13966;-0.269389069;0.678414674;-58.491635;-0.246773658;0.738688212;-55.231734;-0.724313155;0.424003643;-32.78629;-0.41868743;0.180576478;5;-0.060956618;0.52592362;-2;-0.004226919;0.770226661;-1;0;;0;-0.011790879;0.918360736;12;0.160845384;0.838615512;-55
